Authors;Title;Link;Abstract;Author Keywords
Da Silva F.Q.B., França A.C.C., Suassuna M., De Sousa Mariz L.M.R., Rossiley I., De Miranda R.C.G., Gouveia T.B., Monteiro C.V.F., Lucena E., Cardozo E.S.F., Espindola E.;Team building criteria in software projects: A mix-method replicated study;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877925082&partnerID=40&md5=94241ecc25d2f781b6c48544edd1aa2a;Context: The internal composition of a work team is an important antecedent of team performance and the criteria used to select team members play an important role in determining team composition. However, there are only a handful of empirical studies about the use of team building criteria in the software industry. Objective: The goal of this article is to identify criteria used in industrial practice to select members of a software project team, and to look for relationships between the use of these criteria and project success. In addition, we expect to contribute with findings about the use of replication in empirical studies involving human factors in software engineering. Method: Our research was based on an iterative mix-method, replication strategy. In the first iteration, we used qualitative research to identify team-building criteria interviewing software project managers from industry. Then, we performed a cross-sectional survey to assess the correlations of the use of these criteria and project success. In the second iteration, we used the results of a systematic mapping study to complement the set of team building criteria. Finally, we performed a replication of the survey research with variations to verify and improve the results. Results: Our results showed that the consistent use team building criteria correlated significantly with project success, and the criteria related to human factors, such as personality and behavior, presented the strongest correlations. The results of the replication did not reproduce the results of the original survey with respect to the correlations between criteria and success goals. Nevertheless, the variations in the design and the difference in the sample of projects allowed us to conclude that the two results were compatible, increasing our confidence on the existence of the correlations. Conclusion: Our findings indicated that carefully selecting team member for software teams is likely to positively influence the projects in which these teams participate. Besides, it seems that the type of development method used can moderate (increase or decrease) this influence. In addition, our study showed that the choice of sampling technique is not straightforward given the many interacting factors affecting this type of investigation. © 2013 Elsevier B.V. All rights reserved.;People management, Software engineering, Software teams, Team building criteria, Team effectiveness
Kasoju A., Petersen K., Mäntylä M.V.;Analyzing an automotive testing process with evidence-based software engineering;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877922741&partnerID=40&md5=b6dc2fcdca02a51db47c5925cfbaaa66;Context: Evidence-based software engineering (EBSE) provides a process for solving practical problems based on a rigorous research approach. The primary focus so far was on mapping and aggregating evidence through systematic reviews. Objectives: We extend existing work on evidence-based software engineering by using the EBSE process in an industrial case to help an organization to improve its automotive testing process. With this we contribute in (1) providing experiences on using evidence based processes to analyze a real world automotive test process and (2) provide evidence of challenges and related solutions for automotive software testing processes. Methods: In this study we perform an in-depth investigation of an automotive test process using an extended EBSE process including case study research (gain an understanding of practical questions to define a research scope), systematic literature review (identify solutions through systematic literature), and value stream mapping (map out an improved automotive test process based on the current situation and improvement suggestions identified). These are followed by reflections on the EBSE process used. Results: In the first step of the EBSE process we identified 10 challenge areas with a total of 26 individual challenges. For 15 out of those 26 challenges our domain specific systematic literature review identified solutions. Based on the input from the challenges and the solutions, we created a value stream map of the current and future process. Conclusions: Overall, we found that the evidence-based process as presented in this study helps in technology transfer of research results to industry, but at the same time some challenges lie ahead (e.g. scoping systematic reviews to focus more on concrete industry problems, and understanding strategies of conducting EBSE with respect to effort and quality of the evidence). © 2013 Elsevier B.V. All rights reserved.;Automotive software testing, Evidence-based software engineering, Process assessment
Garousi V., Shahnewaz S., Krishnamurthy D.;UML-driven software performance engineering: A systematic mapping and trend analysis;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943001475&partnerID=40&md5=9fb954ed9637a65db8b13adce09b4c24;Performance is critical to the success of every software system. As a sub-area of software engineering, Software Performance Engineering (SPE) is a systematic and quantitative discipline to construct software systems that meet performance objectives. A family of SPE approaches that has become popular in the last decade is SPE based on models developed using the Unified Modeling Language (UML), referred to as UML-Driven Software Performance Engineering (UML-SPE). This particular research area has emerged and grown since late 1990s when the UML was proposed. More than 100 papers have been published so far in this area. As this research area matures and the number of related papers increases, it is important to systematically summarize and categorize the current state-of-the-art and to provide an overview of the trends in this specialized field. The authors systematically map the body of knowledge related to UML-SPE through a Systematic Mapping (SM) study. As part of this study, they pose two sets of research questions, define selection and exclusion criteria, and systematically develop and refine a systematic map (classification schema). In addition, the authors conduct bibliometric, demographic, and trend analysis of the included papers. The study pool includes a set of 90 papers (from 114 identified papers) published in the area of UML-SPE between 1998 and 2011. The authors derive the trends in terms of types of papers, types of SPE activities, and types of evaluations. They also report the demographics and bibliometrics trends in this domain and discuss the emerging trends in UML-SPE and the implications for researchers and practitioners in this area. © 2013, IGI Global.,;
Oliveira K., Pimentel J., Santos E., Dermeval D., Guedes G., Souza C., Soares M., Castro J., Alencar F., Silva C.;25 years of requirements engineering in Brazil: A systematic mapping;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878821220&partnerID=40&md5=a305493fedbcba2057b3990b2601c6d7;The celebration of 25th anniversary of the Brazilian Symposium of Software Engineering (SBES) as well as the forthcoming Requirements Engineering Conference to be held in Brazil for the first time, has led us to have a closer look at the local Requirements Engineering (RE) Community. A systematic mapping was performed in order to find out the main Brazilian research groups, authors as well as their topics of interest and publications with greatest impact. This information may be useful for those that do not know well the local requirements engineering community, such as local newcomers or foreign researchers. It may also help to identify potential groups for collaboration. Similarly, it may provide valuable information to assist local agencies when granting research funds. © Springer-Verlag Montevideo 2013.;Requirements engineering, Systematic mapping
Cobb W.E., Baldwin R.O., Laspe E.D.;Leakage mapping: A systematic methodology for assessing the side-channel information leakage of cryptographic implementations;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880212057&partnerID=40&md5=efc1e72228f61b1359045a26b81359cf;We propose a generalized framework to evaluate the side-channel information leakage of symmetric block ciphers. The leakage mapping methodology enables the systematic and efficient identification and mitigation of problematic information leakages by exhaustively considering relevant leakage models. The evaluation procedure bounds the anticipated resistance of an implementation to the general class of univariate differential side-channel analysis techniques. Typical applications are demonstrated using the well-known Hamming weight and Hamming distance leakage models, with recommendations for the incorporation of more accurate models. The evaluation results are empirically validated against correlation-based differential side-channel analysis attacks on two typical unprotected implementations of the Advanced Encryption Standard. © 2013 ACM.;Advanced encryption standard, Block cipher, Cryptanalysis, Cryptography, Differential power analysis, Encryption, Hardware security, Information leakage, Physical-layer security, Side-channel analysis
Jung J., Bae S.-H., Lee J.H., Kim M.-S.;Make it move: A movement design method of simple standing products based on systematic mapping of torso movements & product messages;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877992287&partnerID=40&md5=30232338ed6d5581e291342df56451db;Human communication significantly relies on the expressivity of their body movements. Based on these body language experiences, humans tend to extract meanings even from movements of objects. This paper begins with the above human tendencies to create a design method that can help product designers make their products move to communicate. As a research vehicle, we created a robotic torso prototype and utilized it to collaborate with movement experts, and listed up possible expressive movement components. We then built a mapping matrix that links these movements to general product messages. A method which utilizes this mapping matrix was developed to help designers determine a set of effective movements that can communicate specific product messages. Lastly, a design work-shop was conducted to identify the usefulness of the proposed method. We expect the procedures and findings of this study to help researchers and designers approach affective user experience through product movement design. Copyright © 2013 ACM.;Design method, Product movement
Borges A., Soares S., Meira S., Tomaz H., Rocha R., Costa C.;Ontologies supporting the distributed software development: A systematic mapping study;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877256809&partnerID=40&md5=fd16c17f51c43503c37b23cba96469a8;Background: Along the last decade, there has been a significant increase in the adoption of the approaches based on Distributed Software Development (DSD). This approach has brought several competitive advantages, as well as new challenges such as communication and information sharing. In this context, the ontologies can provide benefits such as the definition, standardization and sharing of knowledge involved in the project, allowing a uniform understanding of information and facilitating the collaboration among distributed software development teams. Aim: Identifying evidence to determine which tools, models, techniques and best practices that use ontologies to support the DSD projects, and which ontologies proposed in this context. Method: This paper presents a systematic mapping study conducted in order to investigate how ontologies are being applied as a support to the DSD. The research protocol was based on Kitchenham's, and Travassos and Biolchini's guidelines. Searches were performed both in manual and automatic way in a set of digital libraries engines and leading conferences in the Software Engineering field. Results: From the initial set of 1588 studies, it was selected a total of 38 primary studies that answer the two research questions. Conclusions: This work presents evidences from each paper collected and an analysis of results reached. The results support the foundation for proposing and developing a feature based on ontologies to support the DSD, besides encouraging further researches that may promote advancements in this area and fostering the adoption of these types of resources by the global software industry. Copyright 2013 ACM.;Distributed software development, Empirical Software Engineering, Ontology, Systematic mapping study
Kuhrmann M., Fernández D.M., Tiessler M.;A mapping study on method engineering - First results;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877276986&partnerID=40&md5=ccbde7a8990b47e495c7e876fe19c3d5;Context: Software processes have become inherently complex to cope with the various situations we face in industrial project environments. In response to this problem, the research area of Method Engineering arose in the 1990s aiming at the systematization of process construction. Objective: Although the research area has gained much attention and offered a plethora of contributions so far, we still have little knowledge about the feasibility of Method Engineering. To overcome this shortcoming, necessary is a systematic investigation of the respective publication flora. Method: We conduct a systematic mapping study and investigate, inter alia, which contributions were made over time and which research type facet they address to distill a common understanding of the state-of-the-art. Results: Based on the review of 64 publications, our results show that most of those contributions only repeat and discuss formerly introduced concepts, whereas empirically sound evidence on the feasibility of Method Engineering, is still missing. Conclusion: Although the research area constitutes many contributions, yet missing are empirically sound investigations that would allow for practical application and experience extraction. Copyright 2013 ACM.;Mapping study, Situational method engineering, Systematic literature review
Sulaman S.M., Weyns K., Höst M.;A review of research on risk analysis methods for IT systems;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877289265&partnerID=40&md5=e1f98654dd2286cf5fd9e00497f14c7b;Context: At the same time as our dependence on IT systems increases, the number of reports of problems caused by failures of critical IT systems has also increased. This means that there is a need for risk analysis in the development of this kind of systems. Risk analysis of technical systems has a long history in mechanical and electrical engineering. Objective: Even if a number of methods for risk analysis of technical systems exist, the failure behavior of information systems is typically very different from mechanical systems. Therefore, risk analysis of IT systems requires different risk analysis techniques, or at least adaptations of traditional approaches. This means that there is a need to understand what types of methods are available for IT systems and what research that has been conducted on these methods. Method: In this paper we present a systematic mapping study on risk analysis for IT systems. 1086 unique papers were identified in a database search and 57 papers were identified as relevant for this study. These papers were classified based on 5 different criteria. Results: This classification, for example, shows that most of the discussed risk analysis methods are qualitative and not quantitative and that most of the risk analysis methods that are presented in these papers are developed for IT systems in general and not for specific types of IT system. Conclusions: The results show that many new risk analysis methods have been proposed in the last decade but even more that there is a need for more empirical evaluations of the different risk analysis methods. Many papers were identified that propose new risk analysis methods, but few papers discuss a systematic evaluation of these methods or a comparison of different methods based on empirical data. Copyright 2013 ACM.;IT systems, Mapping study, Risk analysis
Li Z., Liang P., Avgeriou P.;Application of knowledge-based approaches in software architecture: A systematic mapping study;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875214360&partnerID=40&md5=6b620704b8852ac57288f15d5e35c03c;Context: Knowledge management technologies have been employed across software engineering activities for more than two decades. Knowledge-based approaches can be used to facilitate software architecting activities (e.g., architectural evaluation). However, there is no comprehensive understanding on how various knowledge-based approaches (e.g., knowledge reuse) are employed in software architecture. Objective: This work aims to collect studies on the application of knowledge-based approaches in software architecture and make a classification and thematic analysis on these studies, in order to identify the gaps in the existing application of knowledge-based approaches to various architecting activities, and promising research directions. Method: A systematic mapping study is conducted for identifying and analyzing the application of knowledge-based approaches in software architecture, covering the papers from major databases, journals, conferences, and workshops, published between January 2000 and March 2011. Results: Fifty-five studies were selected and classified according to the architecting activities they contribute to and the knowledge-based approaches employed. Knowledge capture and representation (e.g., using an ontology to describe architectural elements and their relationships) is the most popular approach employed in architecting activities. Knowledge recovery (e.g., documenting past architectural design decisions) is an ignored approach that is seldom used in software architecture. Knowledge-based approaches are mostly used in architectural evaluation, while receive the least attention in architecture impact analysis and architectural implementation. Conclusions: The study results show an increased interest in the application of knowledge-based approaches in software architecture in recent years. A number of knowledge-based approaches, including knowledge capture and representation, reuse, sharing, recovery, and reasoning, have been employed in a spectrum of architecting activities. Knowledge-based approaches have been applied to a wide range of application domains, among which Embedded software has received the most attention. © 2012 Elsevier B.V. All rights reserved.;Architecting activity, Knowledge-based approach, Software architecture, Systematic mapping study
Farhoodi R., Garousi V., Pfahl D., Sillito J.;Development of scientific software: A systematic mapping, a bibliometrics study, and a paper repository;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880970555&partnerID=40&md5=0ea6adf802a44a6f58d40e33ab0da764;Scientific and engineering research is heavily dependent on effective development and use of software artifacts. Many of these artifacts are produced by the scientists themselves, rather than by trained software engineers. To address the challenges in this area, a research community often referred to as Development of Scientific Software has emerged in the last few decades. As this research area has matured, there has been a sharp increase in the number of papers and results made available, and it has thus become important to summarize and provide an overview about those studies. Through a systematic mapping and bibliometrics study, we have reviewed 130 papers in this area. We present the results of our study in this paper. Also we have made the mapping data available on an online repository which is planned to be updated on a regular basis. The results of our study seem to suggest that many software engineering techniques and activities are being used in the development of scientific software. However, there is still a need for further exploration of the usefulness of specific software engineering techniques (e.g., regarding software maintenance, evolution, refactoring, re(v)-engineering, process and project management) in the scientific context. It is hoped that this article will help (new) researchers get an overview of the research space and help them to understand the trends in the area. © 2013 World Scientific Publishing Company.;Bibliometrics study, Development of scientific software, Paper repository, Systematic mapping
Lobato L.L., Bittar T.J., Neto P.A.D.M.S., MacHado I.D.C., De Almeida E.S., Meira S.R.D.L.;Risk management in software product line engineering: A mapping study;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881014807&partnerID=40&md5=83fe16cebf1cd3ccebfb7b597fcd2cae;Software Product Line (SPL) Engineering focuses on systematic software reuse, which has benefits such as reductions in time-to-market and effort, and improvements in the quality of products. However, establishing a SPL is not a simple matter, and can affect all aspects of the organization, since the approach is complex and involves major investment and considerable risk. These risks can have a negative impact on the expected ROI for an organization, if SPL is not sufficiently managed. This paper presents a mapping study of Risk Management (RM) in SPL Engineering. We analyzed a set of thirty studies in the field. The results points out the need for risk management practices in SPL, due to the little research on RM practices in SPL and the importance of identifying insight on RM in SPL. Most studies simply mention the importance of RM, however the steps for managing risk are not clearly specified. Our findings suggest that greater attention should be given, through the use of industrial case studies and experiments, to improve SPL productivity and ensure its success. This research is a first attempt within the SPL community to identify, classify, and manage risks, and establish mitigation strategies. © 2013 World Scientific Publishing Company.;Mapping study, Risk management, Software product lines
Kritikakou A., Catthoor F., Athanasiou G.S., Kelefouras V., Goutis C.;Near-optimal microprocessor and accelerators codesign with latency and throughput constraints;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877885684&partnerID=40&md5=cda6dffc6b81ac7b04e3bd5968caaed4;A systematic methodology for near-optimal software/hardware codesign mapping onto an FPGA platform with microprocessor and HW accelerators is proposed. The mapping steps deal with the inter-organization, the foreground memory management, and the datapath mapping. A step is described by parameters and equations combined in a scalable template. Mapping decisions are propagated as design constraints to prune suboptimal options in next steps. Several performance-area Pareto points are produced by instantiating the parameters. To evaluate our methodology we map a real-time bio-imaging application and loop-dominated benchmarks. © 2013 ACM.;Area reduction, FPGA, Near optimal, Real-time behavior
Sadeghi A., Fröhlich H.;Steiner tree methods for optimal sub-network identification: An empirical study;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876788441&partnerID=40&md5=3a02c38ff0bd1131a97ac92d7f422766;Background: Analysis and interpretation of biological networks is one of the primary goals of systems biology. In this context identification of sub-networks connecting sets of seed proteins or seed genes plays a crucial role. Given that no natural node and edge weighting scheme is available retrieval of a minimum size sub-graph leads to the classical Steiner tree problem, which is known to be NP-complete. Many approximate solutions have been published and theoretically analyzed in the computer science literature, but far less is known about their practical performance in the bioinformatics field.Results: Here we conducted a systematic simulation study of four different approximate and one exact algorithms on a large human protein-protein interaction network with ~14,000 nodes and ~400,000 edges. Moreover, we devised an own algorithm to retrieve a sub-graph of merged Steiner trees. The application of our algorithms was demonstrated for two breast cancer signatures and a sub-network playing a role in male pattern baldness.Conclusion: We found a modified version of the shortest paths based approximation algorithm by Takahashi and Matsuyama to lead to accurate solutions, while at the same time being several orders of magnitude faster than the exact approach. Our devised algorithm for merged Steiner trees, which is a further development of the Takahashi and Matsuyama algorithm, proved to be useful for small seed lists. All our implemented methods are available in the R-package SteinerNet on CRAN (http://www.r-project.org) and as a supplement to this paper. © 2013 Sadeghi and Fröhlich, licensee BioMed Central Ltd.,;
Wautelet Y., Kolp M.;Mapping i* within UML for business modeling;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875867191&partnerID=40&md5=3f9633f98f2c78eea905bc5a4ce7837d;[Context and Motivation] Business modeling is nowadays a common approach in huge enterprise software developments. It notably allows to align business processes and supporting IT solutions at best, to produce a documentation of the company's savoir-faire and to look for possible optimizations. The business modeling discipline of the Rational Unified Process (RUP) has enriched the semantic of the Unified Modeling Language's (UML) use case diagrams for the special purpose of representing the organization's processes with accurate elements. [Question/Problem] RUP/UML business use case scemantics are nevetheless only intended to further stereotype use case models and not to be used for reasoning. In parallel and in line with artificial intelligence concepts, researchers have developed the i* framework enabling the evaluation and decomposition of multiple design opportunities. RUP/UML business use case scemantics could be used more efficiently to integrate the latter benefits. [Principal ideas/results] Through a systematic mapping of elements from i* on the one side and of the RUP/UML business use case model on the other, we have set up a RUP/UML graphical notation for i* elements. Applicability has been shown on an illustrative example. [Contribution] The main contribution of the framework is allowing to model in an i* fashion using CASE-tools meant for RUP/UML and proposing an interface for forward engineering the produced model in a classical UML requirements model. Future work is required to fully validate the proposal, notably to measure the method's efficacy. © 2013 Springer-Verlag.;Business Modeling, i*, RUP/UML Business Use Case Model
Durelli V.H.S., Araujo R.F., Silva M.A.G., Oliveira R.A.P.D., Maldonado J.C., Delamaro M.E.;A scoping study on the 25 years of research into software testing in Brazil and an outlook on the future of the area;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875256671&partnerID=40&md5=1a211c7b0c507bd4d444bd7b3094d703;Over the past 25 years the Brazilian Symposium on Software Engineering (SBES) has evolved to become the most important event on software engineering in Brazil. Throughout these years, SBES has gathered a large body of studies in software testing. Aimed at providing an insightful understanding of what has already been published in such event, we have synthesized its 25-year history of research on software testing. Using information drawn from this overview we highlighted which software testing topics have been the most extensively surveyed in SBES literature. We have also devised a co-authorship network to depict the most prolific research groups and researchers. Moreover, by performing a citation analysis of the selected studies we have tried to ascertain the importance of SBES in a wider scenario. Finally, using the information extracted from the studies, we have shed light on the state-of-the-art of software testing in Brazil and provided an outlook on its foreseeable future. © 2012 Elsevier Inc.;Brazilian research, Software testing, Systematic mapping
Omer I.;How Do Regional Categories Affect the Potential for Rotation Distortion in Geographical Direction Estimation?;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875135236&partnerID=40&md5=2b2cc722bad0055689d8e79b71078ee5;In this article we report results from an investigation conducted to ascertain how the potential for perception-based rotation distortion in direction estimation is affected by regional categories. To do so we tested subjects' knowledge about the direction of geographical locations in the northern part of Israel and in hypothetical maps. The results clearly indicate that regional categories do affect rotation distortion when direction estimation involves cities belonging to different regional categories. Based on these findings, we conclude that categorical representation has priority over perception-based representation in estimation when conditions appropriate to each type of representation simultaneously appear in a geographical environment. © 2013 Copyright Taylor and Francis Group, LLC.;cognitive mapping, direction estimation, regional categories, rotation, spatial representation, systematic distortions
Abdellatief M., Sultan A.B.M., Ghani A.A.A., Jabar M.A.;A mapping study to investigate component-based software system metrics;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872676227&partnerID=40&md5=168cb6d0d2c29588e6a74450ccc234fc;A component-based software system (CBSS) is a software system that is developed by integrating components that have been deployed independently. In the last few years, many researchers have proposed metrics to evaluate CBSS attributes. However, the practical use of these metrics can be difficult. For example, some of the metrics have concepts that either overlap or are not well defined, which could hinder their implementation. The aim of this study is to understand, classify and analyze existing research in component-based metrics, focusing on approaches and elements that are used to evaluate the quality of CBSS and its components from a component consumer's point of view. This paper presents a systematic mapping study of several metrics that were proposed to measure the quality of CBSS and its components. We found 17 proposals that could be applied to evaluate CBSSs, while 14 proposals could be applied to evaluate individual components in isolation. Various elements of the software components that were measured are reviewed and discussed. Only a few of the proposed metrics are soundly defined. The quality assessment of the primary studies detected many limitations and suggested guidelines for possibilities for improving and increasing the acceptance of metrics. However, it remains a challenge to characterize and evaluate a CBSS and its components quantitatively. For this reason, much effort must be made to achieve a better evaluation approach in the future. © 2012 Elsevier Inc.;Component-based software system, Software components, Software metrics, Software quality, Systematic mapping study
Mehmood A., Jawawi D.N.A.;Aspect-oriented model-driven code generation: A systematic mapping study;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869886767&partnerID=40&md5=887c95cc138d00dd4843dc9a823176b7;Context: Model-driven code generation is being increasingly applied to enhance software development from perspectives of maintainability, extensibility and reusability. However, aspect-oriented code generation from models is an area that is currently underdeveloped. Objective: In this study we provide a survey of existing research on aspect-oriented modeling and code generation to discover current work and identify needs for future research. Method: A systematic mapping study was performed to find relevant studies. Classification schemes have been defined and the 65 selected primary studies have been classified on the basis of research focus, contribution type and research type. Results: The papers of solution proposal research type are in a majority. All together aspect-oriented modeling appears being the most focused area divided into modeling notations and process (36%) and model composition and interaction management (26%). The majority of contributions are methods. Conclusion: Aspect-oriented modeling and composition mechanisms have been significantly discussed in existing literature while more research is needed in the area of model-driven code generation. Furthermore, we have observed that previous research has frequently focused on proposing solutions and thus there is need for research that validates and evaluates the existing proposals in order to provide firm foundations for aspect-oriented model-driven code generation. © 2012 Elsevier B.V. All rights reserved.;Aspect-oriented software development, Code generation, Model-driven engineering, Systematic map
Vanhanen J., Mäntylä M.V.;A systematic mapping study of empirical studies on the use of pair programming in industry;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899055480&partnerID=40&md5=14341d9d0e7699a0e4361a904ddc8e75;Previous systematic literature reviews on pair programming (PP) lack in their coverage of industrial PP data as well as certain factors of PP such as infrastructure. Therefore, we conducted a systematic mapping study on empirical, industrial PP research. Based on 154 research papers, we built a new PP framework containing 18 factors. We analyzed the previous research on each factor through several research properties. The most thoroughly studied factors in industry are communication, knowledge of work, productivity and quality. Many other factors largely lack comparative data, let alone data from reliable data collection methods such as measurement. Based on these gaps in research further studies would be most valuable for development process, targets of PP, developers' characteristics, and feelings of work. We propose how they could be studied better. If the gaps had been commonly known, they could have been covered rather easily in the previous empirical studies. Our results help to focus further studies on the most relevant gaps in research and design them based on the previous studies. The results also help to identify the factors for which systematic reviews that synthesize the findings of the primary studies would already be feasible. © 2013 World Scientific Publishing Company.;empirical studies, gaps in research, industrial studies, Pair programming, systematic mapping study
Costa C., Murta L.;Version control in Distributed Software Development: A systematic mapping study;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887419322&partnerID=40&md5=01316f5030374708c9a87f0a40ef25a4;Along the last decade, many companies started using Distributed Software Development (DSD). The distribution of the software development teams over the globe has become almost a rule in large companies. However, in this context, new problems arise, which mainly involve the physical and temporal distance among the participants. Some studies show that deploying a version control system to alleviate this problem is a big challenge for distributed teams. This paper presents a systematic mapping study about works about version control that focus on DSD. We found 29 studies related to DSD version control, published between 2002 and 2012. Using the systematically extracted data from these works, we present challenges, tools, and other solutions proposed to version control in DSD. These results can support practitioners and researchers to better understand and overcome the challenges related do DSD version control, and devise more effective solutions to improve version control in a distributed setting. © 2013 IEEE.;Configuration management, Distributed Software Development, Systematic mapping study, Version control
Ouhbi S., Idri A., Fernández-Alemán J.L., Toval A.;Software quality requirements: A systematic mapping study;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933501221&partnerID=40&md5=16c9a1d2da950000184c6347a78c4f83;Software quality requirements (SQR) play a central role in software quality (SQ) success. The importance of mastering SQR can be seen as obvious, however, when it comes to customer satisfaction, end-users are often dissatisfied with SQ. In this paper, a systematic mapping study aims to summarize SQR research by answering nine mapping questions. In total, 51 articles were selected and classified according to multiple criteria: publication source, publication year, research type, research approach, contribution type of SQR literature, requirements engineering activity, well-known SQ model, software artifact and SQR type. The results show an increased interest in SQR research in recent years and reveal that conferences are the main SQR publication target. Most SQR research has used case studies. The dominant contribution type of SQR research is method while specification is the main requirements engineering activity identified. SQ models need to be more used for SQR identification. Design module and requirements documentation are the principal artifacts reported in SQR literature. External and internal SQR were the main SQR types addressed in literature. Identifying empirical solutions to address SQR is a promising research direction for researchers. © 2013 IEEE.;Requirement engineering, Software quality requirements, Systematic mapping study
Steinmacher I., Chaves A.P., Gerosa M.A.;Awareness support in distributed software development: A systematic review and mapping of the literature;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879506923&partnerID=40&md5=b5f6f90b2b57422a66ee3d28c5788460;The developers' physical dispersion in Distributed Software Development (DSD) imposes challenges related to awareness support during collaboration in such scenario. In this paper, we present a systematic literature review and mapping that gathered, analyzed, and classified studies that improve awareness support in DSD, providing an overview of the area. Our initial search returned 1967 papers, of which 91 were identified as reporting some awareness support to DSD. These papers were then analyzed, and classified according to the 3 C collaboration model and to the Gutwin et al. Awareness Framework. Our findings suggest that awareness in DSD is gaining increasingly attention, 71 out of 91 papers were published from 2006 to 2010. Most part of the papers presented tools with some awareness support. The classification showed that the coordination is by far the most supported dimension of the 3C model, while communication is the less explored. It also showed that workspace awareness elements play a central role on DSD collaboration. © 2012 Springer.;Awareness, Communication, Cooperation, Coordination, Distributed software development, Systematic mapping, Systematic review
Hellmann T.D., Chokshi A., Abad Z.S.H., Pratte S., Maurer F.;Agile testing: A systematic mapping across three conferences - Understanding agile testing in the XP/agile universe, agile, and XP conferences;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887284785&partnerID=40&md5=8d2457d1876d20ef8bc69a35c477eea9;Unit and acceptance testing are central to agile software development, but is that all there is to agile testing? We build on previous work to provide a systematic mapping of agile testing publications at major agile conferences. The analysis presented in this paper allows us to answer research questions like: what is agile testing used for, what types of studies on agile testing have been published, what problems do people have when performing agile testing, and what benefits do these publications offer? We additionally explore topics such as: who are the major authors in this field, in which countries do these authors work, what tools are mentioned, and is the field driven by academics, practitioners, or collaborations? This paper presents our analysis of these topics in order to better structure future work in the field of agile testing and to provide a better understanding of what this field actually entails. © 2013 IEEE.;agile software development, empirical, software testing, systematic mapping, test-driven development, testing tools
Mendonça D.F., Rodrigues G.N., Favacho A., Holanda M.;A systematic mapping study on service oriented computing in the context of quality of services;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893294433&partnerID=40&md5=790e24a339d4e595513d5d8c2889d51b;In the last years, the field of service oriented computing (SOC) has received a growing interest from researchers and practitioners, particularly with respect to quality of service (QoS). Aim: This paper presents a mapping study to aggregate literature in this field in order to find trends and research opportunities regarding QoS in SOC. Method: Following well established mapping study protocol, we collected data from major digital libraries and analysed 364 papers aided by a tool developed for this purpose. Results: With respect to SOC contributions dealing with QoS properties, we were able to find out which SOC as well as which QoS facets are the focus of research. Our mapping was also able to identify those research groups that have mostly published in the context of our study. Conclusions: Most of the studies concentrate on runtime issues, such as monitoring and adaptation. Besides, an expressive amount of papers focused on metrics, computational models or languages for the context of Qos in SOC. Regarding quality attributes, a vast majority of the papers use generic models, so that the proposed solutions are independent of the particularities of a quality attribute. In spite of that, our study reveal that availability, performance and reliability were the major highlights. With respect to research type, many of the reviewed studies propose new solutions, instead of evaluating and validating existing proposals - a symptom of a field that still needs established research paradigms. © 2013 IEEE.,;
Souza E.F., Falbo R.A., Vijaykumar N.L.;Knowledge management applied to software testing: A systematic mapping;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922663129&partnerID=40&md5=f38645ba853196e34678283ee883a71e;With the growth of data from several different sources of knowledge within an organization, it becomes necessary to provide computerized support for tasks of acquiring, processing, analyzing and disseminating knowledge. In the software process, testing is a critical factor for product quality, and thus there is an increasing concern in how to improve the accomplishment of this task. In software testing, finding relevant knowledge to reuse can be a difficult and complex task, due to the lack of a strategy to represent or to associate semantics to a large volume of test data, including test cases, testing techniques to be applied and so on. This paper aims to investigate, through a Systematic Mapping of the Literature, some aspects associated with applying Knowledge Management to Software Testing. Copyright © 2013 by Knowledge Systems Institute Graduate School.;Knowledge management, Software testing, Systematic mapping
